"",output_0
0,0.3303825054953443
1,0.35776849233723906
2,0.5707137158126653
3,0.4140580684884285
4,0.3045426983064183
5,0.5836434078276198
6,0.3829570840638413
7,0.5200873930218719
8,0.4029923768126079
9,0.3136515781238724
10,0.4300776035068985
11,0.4686143911691663
12,0.8334247164027374
13,0.06831680781834576
14,0.451327304816925
15,0.3524934053191045
16,0.06962168474333535
17,0.5426573949654053
18,0.40902454609545724
19,0.516020761268135
20,0.036245681963592014
21,0.5762472694687409
22,0.32372245041417214
23,0.4234609672987304
24,0.4853193115745346
25,0.5158352110858686
26,0.45391374863726225
27,0.4806086891882181
28,0.4524353106098967
29,0.319816997734097
30,0.23403596464015358
31,0.534040746900964
32,0.5313138363496721
33,0.2318094489497584
34,0.6685661656702144
35,0.39774799584327936
36,0.38919923196713463
37,0.5723562483214226
38,0.43051332457338315
39,0.3540017215977086
40,0.6876740806974053
41,0.3954963624870382
42,0.5536669581863829
43,0.2682666654182606
44,0.47343937577944006
45,0.4399875582481485
46,0.5193753071806707
47,0.3499471962120692
48,0.8399956652684016
49,0.6747871879797392
50,0.5030977105608845
51,0.6470000533689446
52,0.2630846339731404
53,0.19543678329767916
54,0.41138039652751335
55,0.45644273249746126
56,0.2676320283793827
57,0.24051624062988944
58,0.5750982597494084
59,0.4143531006904627
60,0.3493655229339382
61,0.43658170362957643
62,0.38192811375905983
63,0.4735504301558193
64,0.4023025064108006
65,0.3956214702305628
66,0.5737604868574344
67,0.4003262200155409
68,0.32806246552952917
69,0.45676541860286557
70,0.2587308839357396
71,0.2423942564848439
72,0.401358378818729
73,0.4003379886055152
74,0.44960290467387465
75,0.3836864393741588
76,0.31205725224165876
77,0.3238083747309597
78,0.45128009354790277
79,0.13037389479618797
80,0.49028638936546365
81,0.3896686871187452
82,0.5341892966211825
83,0.3544833027147693
84,0.4853193115745346
85,0.22662104832175606
86,0.4382939035371797
87,0.3449811756396296
88,0.32227319824648987
89,0.6280752871870726
90,0.6026329789432341
91,0.3929261185583401
92,0.40532499724080084
93,0.7313158746148941
94,0.27123795838409204
95,0.5689494632410218
96,0.35365646410162527
97,0.6828876835467158
98,0.3971431301099616
99,0.4686143911691663
100,0.3466804983128122
101,0.49394722983026207
102,0.7439791009365652
103,0.3054314395237894
104,0.2896781597938727
105,0.3547021277915069
106,0.7867137260084791
107,0.4146736653925571
108,0.34149881758379763
109,0.10153849579492527
110,0.4534560739276436
111,0.27070618495845966
112,0.6828876835467158
113,0.2488369101360681
114,0.4096529473596447
115,0.5704852948766572
116,0.5945401502881587
117,0.4402392888029073
118,0.307315526002954
119,0.39561284062540736
120,0.24191192340436557
121,0.3185900584358201
122,0.3327321622930775
123,0.44242106776074375
124,0.4853193115745346
125,0.3145074790726651
126,0.5210412515213896
127,0.26966842162699023
128,0.6281352370003717
129,0.10284337271991473
130,0.5640882983196678
131,0.4863856107367196
132,0.19182103035714715
133,0.5931496965217373
134,0.2655294048850376
135,0.3601738185748735
136,0.3442329502677861
137,0.4399875582481485
138,0.4228311716869317
139,0.24073814343141203
140,0.4808470993432063
141,0.4273748912068214
142,0.31758084003771836
143,0.47240530367938444
144,0.7139029950034137
145,0.5921661135304175
146,0.33790894236649954
147,0.295291766693382
148,0.47458524779780215
149,0.2851197222203833
150,0.554542890710076
151,0.3228856854561071
152,0.44435649804969723
153,0.4601785374094559
154,0.3895937915574908
155,0.2862991197944642
156,0.4327168465015484
157,0.5079414893013748
158,0.7746427586915728
159,0.5077342326568012
160,0.5088629526966805
161,0.2988902643532823
162,0.642188190460879
163,0.25481936985630427
164,0.4714672162678895
165,0.5032927521190687
166,0.3521845256485516
167,0.26148168424899987
168,0.5521507960004286
169,0.3962357005471595
170,0.3490488967660869
171,0.4865602013012377
172,0.3982025534503397
173,0.6754401495144693
174,0.6840707403794453
175,0.6349488377129715
176,0.380956657572169
177,0.39839242641607864
178,0.35776849233723906
179,0.4319914745524061
180,0.5677127025970314
181,0.5077342326568012
182,0.3776786512588366
183,0.555670836601722
184,0.22790175150084285
185,0.491559369317494
186,0.5910042199980569
187,0.4310616935144022
188,0.4923501426939959
